clust_id,type,ROI_lab_dspda,aoi_lab,X_position,Y_position,ROI_width,ROI_height,GenesDetected,x_axis
10,Liver Macrophage,61,CD68,36083.65234,52578.78125,1657,1969,999,9.931031826
11,Liver Sinusoid,61,SMA,36083.65234,52578.78125,1657,1969,1318,11.14023672
5,Bile Duct,62,Full ROI,19461,39684,321,377,1238,5.172456512
6,Artery,63,Full ROI,20013,39488,374,488,693,5.900767243
7,Portal Vein,64,Full ROI,19836,39451,516,327,781,7.052803395
5,Bile Duct,65,Full ROI,24944,39941,1010,521,1499,5.084295698
6,Artery,66,Full ROI,23658,39860,370,320,1008,6.139554839
7,Portal Vein,67,Full ROI,23460,39534,550,569,617,7.096488123
5,Bile Duct,68,Full ROI,25649,54768,494,368,4924,5.169858923
7,Portal Vein,69,Full ROI,14164,45018,332,386,633,7.072730369
6,Artery,70,Full ROI,15528,45578,652,317,2055,6.004063584
5,Bile Duct,71,Full ROI,16850,46822,451,364,2369,4.927628504
6,Artery,72,Full ROI,25926,55258,655,402,2544,6.123258999
7,Portal Vein,73,Full ROI,25720,54432,736,697,1507,7.05552078
5,Bile Duct,74,Full ROI,8908,41325,377,208,4562,4.945293958
6,Artery,75,Full ROI,8798,40829,254,260,1568,6.089011806
7,Portal Vein,76,Full ROI,8745,40894,684,938,757,7.002010536
