,ROILabel,Lobular,Gene,Expression,X_position,Y_position,Group,type
358,33,Region 5,CYP3A4,-1.079288218,24119,53993,Group 1,Zone 1
359,42,Region 6,CYP3A4,0.349766671,16525,26339,Group 1,Zone 3
360,43,Region 6,CYP3A4,0.140815323,16761,25810,Group 1,Zone 2
361,44,Region 6,CYP3A4,-0.428307833,16770,25489,Group 1,Zone 2
362,45,Region 6,CYP3A4,-1.050422774,16815,25063,Group 1,Zone 1
363,46,Region 6,CYP3A4,-1.056885187,16811,24672,Group 1,Zone 1
364,2,Region 1,FGA,-1.135488569,26912,24305,Group 2,Zone 3
365,3,Region 1,FGA,-0.70744518,26867,24276,Group 2,Zone 3
366,4,Region 1,FGA,-0.303185226,26572,23905,Group 2,Zone 2
367,5,Region 1,FGA,0.550330369,26008,23308,Group 2,Zone 2
368,6,Region 1,FGA,0.791495566,25778,22864,Group 2,Zone 1
369,7,Region 1,FGA,0.18937146,25456,22090,Group 2,Zone 1
370,16,Region 2,FGA,-0.320365398,27853,44984,Group 2,Zone 3
371,17,Region 2,FGA,0.262767022,27733,45350,Group 2,Zone 3
372,18,Region 2,FGA,0.171256313,27689,45746,Group 2,Zone 2
373,34,Region 2,FGA,0.718450619,27432,46002,Group 2,Zone 2
374,35,Region 2,FGA,-0.109119411,27068,46387,Group 2,Zone 1
375,36,Region 2,FGA,-0.482057692,26783,46709,Group 2,Zone 1
376,37,Region 3,FGA,-0.183449949,27522,44296,Group 2,Zone 3
377,38,Region 3,FGA,0.958213353,27233,44126,Group 2,Zone 2
378,39,Region 3,FGA,2.242109775,26877,43945,Group 2,Zone 2
379,40,Region 3,FGA,2.639006799,26306,44070,Group 2,Zone 1
380,21,Region 4,FGA,-1.009208465,16357,48999,Group 2,Zone 3
381,22,Region 4,FGA,-0.65251538,16216,48941,Group 2,Zone 3
382,23,Region 4,FGA,-0.824550839,15924,48753,Group 2,Zone 2
383,24,Region 4,FGA,-0.668234653,15654,48634,Group 2,Zone 2
384,25,Region 4,FGA,-0.452898149,15394,48608,Group 2,Zone 1
385,26,Region 4,FGA,-0.179300996,15021,48429,Group 2,Zone 1
386,28,Region 5,FGA,-0.951356867,22433,54552,Group 2,Zone 3
387,29,Region 5,FGA,-0.241944343,22806,54453,Group 2,Zone 3
388,30,Region 5,FGA,0.454027911,23106,54386,Group 2,Zone 2
389,31,Region 5,FGA,0.894050671,23382,54236,Group 2,Zone 2
390,32,Region 5,FGA,1.341845414,23666,54171,Group 2,Zone 1
391,33,Region 5,FGA,1.928717735,24119,53993,Group 2,Zone 1
392,42,Region 6,FGA,-1.192113012,16525,26339,Group 2,Zone 3
393,43,Region 6,FGA,-1.10989362,16761,25810,Group 2,Zone 2
394,44,Region 6,FGA,-0.963277802,16770,25489,Group 2,Zone 2
395,45,Region 6,FGA,-0.825368943,16815,25063,Group 2,Zone 1
396,46,Region 6,FGA,-0.829868511,16811,24672,Group 2,Zone 1
397,2,Region 1,FGB,-1.074151465,26912,24305,Group 2,Zone 3
398,3,Region 1,FGB,-0.664253421,26867,24276,Group 2,Zone 3
399,4,Region 1,FGB,-0.268110176,26572,23905,Group 2,Zone 2
400,5,Region 1,FGB,0.926264857,26008,23308,Group 2,Zone 2
401,6,Region 1,FGB,1.123643701,25778,22864,Group 2,Zone 1
402,7,Region 1,FGB,0.29054627,25456,22090,Group 2,Zone 1
403,16,Region 2,FGB,-0.47380236,27853,44984,Group 2,Zone 3
404,17,Region 2,FGB,0.04893038,27733,45350,Group 2,Zone 3
405,18,Region 2,FGB,-0.066700621,27689,45746,Group 2,Zone 2
406,34,Region 2,FGB,0.275053227,27432,46002,Group 2,Zone 2
407,35,Region 2,FGB,-0.243245732,27068,46387,Group 2,Zone 1
408,36,Region 2,FGB,-0.617925445,26783,46709,Group 2,Zone 1
409,37,Region 3,FGB,-0.530484223,27522,44296,Group 2,Zone 3
410,38,Region 3,FGB,0.321431587,27233,44126,Group 2,Zone 2
411,39,Region 3,FGB,1.315429935,26877,43945,Group 2,Zone 2
412,40,Region 3,FGB,2.111948671,26306,44070,Group 2,Zone 1
413,21,Region 4,FGB,-1.272537987,16357,48999,Group 2,Zone 3
414,22,Region 4,FGB,-0.955950886,16216,48941,Group 2,Zone 3
415,23,Region 4,FGB,-0.978951126,15924,48753,Group 2,Zone 2
416,24,Region 4,FGB,-0.55109123,15654,48634,Group 2,Zone 2
417,25,Region 4,FGB,-0.280479418,15394,48608,Group 2,Zone 1
418,26,Region 4,FGB,0.55997406,15021,48429,Group 2,Zone 1
419,28,Region 5,FGB,-0.864453762,22433,54552,Group 2,Zone 3
420,29,Region 5,FGB,-0.014099852,22806,54453,Group 2,Zone 3
421,30,Region 5,FGB,0.590456307,23106,54386,Group 2,Zone 2
422,31,Region 5,FGB,1.102658816,23382,54236,Group 2,Zone 2
423,32,Region 5,FGB,1.810048471,23666,54171,Group 2,Zone 1
424,33,Region 5,FGB,2.605861833,24119,53993,Group 2,Zone 1
425,42,Region 6,FGB,-1.343100609,16525,26339,Group 2,Zone 3
426,43,Region 6,FGB,-1.093977521,16761,25810,Group 2,Zone 2
427,44,Region 6,FGB,-0.872666335,16770,25489,Group 2,Zone 2
428,45,Region 6,FGB,-0.290127931,16815,25063,Group 2,Zone 1
429,46,Region 6,FGB,-0.626138017,16811,24672,Group 2,Zone 1
430,2,Region 1,FGG,-1.118159078,26912,24305,Group 2,Zone 3
431,3,Region 1,FGG,-0.879833733,26867,24276,Group 2,Zone 3
432,4,Region 1,FGG,-0.475512759,26572,23905,Group 2,Zone 2
433,5,Region 1,FGG,0.235302717,26008,23308,Group 2,Zone 2
434,6,Region 1,FGG,0.301338253,25778,22864,Group 2,Zone 1
435,7,Region 1,FGG,-0.212224061,25456,22090,Group 2,Zone 1
436,16,Region 2,FGG,-0.780620407,27853,44984,Group 2,Zone 3
437,17,Region 2,FGG,-0.102555997,27733,45350,Group 2,Zone 3
438,18,Region 2,FGG,-0.305889975,27689,45746,Group 2,Zone 2
439,34,Region 2,FGG,0.194870619,27432,46002,Group 2,Zone 2
440,35,Region 2,FGG,-0.299595797,27068,46387,Group 2,Zone 1
441,36,Region 2,FGG,-0.785101009,26783,46709,Group 2,Zone 1
442,37,Region 3,FGG,-0.631373694,27522,44296,Group 2,Zone 3
443,38,Region 3,FGG,0.251198185,27233,44126,Group 2,Zone 2
444,39,Region 3,FGG,1.445598615,26877,43945,Group 2,Zone 2
445,40,Region 3,FGG,1.891951901,26306,44070,Group 2,Zone 1
446,21,Region 4,FGG,-0.799716305,16357,48999,Group 2,Zone 3
447,22,Region 4,FGG,-0.559043979,16216,48941,Group 2,Zone 3
448,23,Region 4,FGG,-0.45097613,15924,48753,Group 2,Zone 2
449,24,Region 4,FGG,-0.163577527,15654,48634,Group 2,Zone 2
450,25,Region 4,FGG,-0.062017219,15394,48608,Group 2,Zone 1
451,26,Region 4,FGG,0.605592453,15021,48429,Group 2,Zone 1
452,28,Region 5,FGG,-0.613344606,22433,54552,Group 2,Zone 3
453,29,Region 5,FGG,0.429248767,22806,54453,Group 2,Zone 3
454,30,Region 5,FGG,1.341264601,23106,54386,Group 2,Zone 2
455,31,Region 5,FGG,1.710914251,23382,54236,Group 2,Zone 2
456,32,Region 5,FGG,1.820688996,23666,54171,Group 2,Zone 1
457,33,Region 5,FGG,2.685765191,24119,53993,Group 2,Zone 1
458,42,Region 6,FGG,-1.181314227,16525,26339,Group 2,Zone 3
459,43,Region 6,FGG,-1.146109499,16761,25810,Group 2,Zone 2
460,44,Region 6,FGG,-0.977233482,16770,25489,Group 2,Zone 2
461,45,Region 6,FGG,-0.675539626,16815,25063,Group 2,Zone 1
462,46,Region 6,FGG,-0.693995438,16811,24672,Group 2,Zone 1
463,2,Region 1,FGL1,-1.224642661,26912,24305,Group 2,Zone 3
464,3,Region 1,FGL1,-0.892653859,26867,24276,Group 2,Zone 3
465,4,Region 1,FGL1,-0.218130048,26572,23905,Group 2,Zone 2
466,5,Region 1,FGL1,0.678297505,26008,23308,Group 2,Zone 2
467,6,Region 1,FGL1,0.92447197,25778,22864,Group 2,Zone 1
468,7,Region 1,FGL1,0.080197575,25456,22090,Group 2,Zone 1
469,16,Region 2,FGL1,-0.012262318,27853,44984,Group 2,Zone 3
470,17,Region 2,FGL1,0.295889168,27733,45350,Group 2,Zone 3
471,18,Region 2,FGL1,0.405829759,27689,45746,Group 2,Zone 2
472,34,Region 2,FGL1,0.998584352,27432,46002,Group 2,Zone 2
473,35,Region 2,FGL1,0.161822324,27068,46387,Group 2,Zone 1
474,36,Region 2,FGL1,-0.49709888,26783,46709,Group 2,Zone 1
475,37,Region 3,FGL1,-0.485252457,27522,44296,Group 2,Zone 3
476,38,Region 3,FGL1,0.621665821,27233,44126,Group 2,Zone 2
477,39,Region 3,FGL1,1.967824071,26877,43945,Group 2,Zone 2
478,40,Region 3,FGL1,2.478231573,26306,44070,Group 2,Zone 1
479,21,Region 4,FGL1,-1.117880379,16357,48999,Group 2,Zone 3
480,22,Region 4,FGL1,-0.802938869,16216,48941,Group 2,Zone 3
481,23,Region 4,FGL1,-0.780979645,15924,48753,Group 2,Zone 2
482,24,Region 4,FGL1,-0.705133639,15654,48634,Group 2,Zone 2
483,25,Region 4,FGL1,-0.135927425,15394,48608,Group 2,Zone 1
484,26,Region 4,FGL1,0.151276117,15021,48429,Group 2,Zone 1
485,28,Region 5,FGL1,-1.020219617,22433,54552,Group 2,Zone 3
486,29,Region 5,FGL1,-0.443789974,22806,54453,Group 2,Zone 3
487,30,Region 5,FGL1,0.314959021,23106,54386,Group 2,Zone 2
488,31,Region 5,FGL1,0.799362177,23382,54236,Group 2,Zone 2
489,32,Region 5,FGL1,1.480098137,23666,54171,Group 2,Zone 1
490,33,Region 5,FGL1,1.948465281,24119,53993,Group 2,Zone 1
491,42,Region 6,FGL1,-1.370411461,16525,26339,Group 2,Zone 3
492,43,Region 6,FGL1,-1.060092946,16761,25810,Group 2,Zone 2
493,44,Region 6,FGL1,-0.950874698,16770,25489,Group 2,Zone 2
494,45,Region 6,FGL1,-0.763498946,16815,25063,Group 2,Zone 1
495,46,Region 6,FGL1,-0.825187031,16811,24672,Group 2,Zone 1
496,2,Region 1,GADD45G,1.294182011,26912,24305,Group 1,Zone 3
497,3,Region 1,GADD45G,1.371832932,26867,24276,Group 1,Zone 3
498,4,Region 1,GADD45G,2.014070755,26572,23905,Group 1,Zone 2
499,5,Region 1,GADD45G,0.176332299,26008,23308,Group 1,Zone 2
500,6,Region 1,GADD45G,-0.554880537,25778,22864,Group 1,Zone 1
501,7,Region 1,GADD45G,0.304132773,25456,22090,Group 1,Zone 1
502,16,Region 2,GADD45G,-0.02588364,27853,44984,Group 1,Zone 3
503,17,Region 2,GADD45G,-0.163390479,27733,45350,Group 1,Zone 3
504,18,Region 2,GADD45G,-0.114858654,27689,45746,Group 1,Zone 2
505,34,Region 2,GADD45G,-0.182803209,27432,46002,Group 1,Zone 2
506,35,Region 2,GADD45G,-0.836365125,27068,46387,Group 1,Zone 1
507,36,Region 2,GADD45G,-0.816952395,26783,46709,Group 1,Zone 1
508,37,Region 3,GADD45G,1.98495166,27522,44296,Group 1,Zone 3
509,38,Region 3,GADD45G,2.366735353,27233,44126,Group 1,Zone 2
510,39,Region 3,GADD45G,1.354037929,26877,43945,Group 1,Zone 2
511,40,Region 3,GADD45G,0.645473278,26306,44070,Group 1,Zone 1
512,21,Region 4,GADD45G,-0.03882546,16357,48999,Group 1,Zone 3
513,22,Region 4,GADD45G,0.022648185,16216,48941,Group 1,Zone 3
514,23,Region 4,GADD45G,0.970636509,15924,48753,Group 1,Zone 2
515,24,Region 4,GADD45G,-0.152066386,15654,48634,Group 1,Zone 2
516,25,Region 4,GADD45G,-1.360508839,15394,48608,Group 1,Zone 1
517,26,Region 4,GADD45G,-1.423600213,15021,48429,Group 1,Zone 1
518,28,Region 5,GADD45G,-0.629296003,22433,54552,Group 1,Zone 3
519,29,Region 5,GADD45G,-1.095201527,22806,54453,Group 1,Zone 3
520,30,Region 5,GADD45G,-0.575910995,23106,54386,Group 1,Zone 2
521,31,Region 5,GADD45G,-0.135889111,23382,54236,Group 1,Zone 2
522,32,Region 5,GADD45G,-0.397960969,23666,54171,Group 1,Zone 1
523,33,Region 5,GADD45G,-1.024021517,24119,53993,Group 1,Zone 1
524,42,Region 6,GADD45G,-0.543556445,16525,26339,Group 1,Zone 3
525,43,Region 6,GADD45G,0.140742294,16761,25810,Group 1,Zone 2
526,44,Region 6,GADD45G,-0.596941453,16770,25489,Group 1,Zone 2
527,45,Region 6,GADD45G,-0.765185114,16815,25063,Group 1,Zone 1
528,46,Region 6,GADD45G,-1.211677908,16811,24672,Group 1,Zone 1
529,2,Region 1,GLS2,-1.574906172,26912,24305,Group 2,Zone 3
530,3,Region 1,GLS2,-0.867829492,26867,24276,Group 2,Zone 3
531,4,Region 1,GLS2,-1.12591248,26572,23905,Group 2,Zone 2
532,5,Region 1,GLS2,0.845063765,26008,23308,Group 2,Zone 2
533,6,Region 1,GLS2,1.560978904,25778,22864,Group 2,Zone 1
534,7,Region 1,GLS2,-0.643332646,25456,22090,Group 2,Zone 1
535,16,Region 2,GLS2,-0.210248179,27853,44984,Group 2,Zone 3
536,17,Region 2,GLS2,0.063744034,27733,45350,Group 2,Zone 3
537,18,Region 2,GLS2,-0.701666472,27689,45746,Group 2,Zone 2
538,34,Region 2,GLS2,-0.288026614,27432,46002,Group 2,Zone 2
539,35,Region 2,GLS2,0.219300904,27068,46387,Group 2,Zone 1
540,36,Region 2,GLS2,-0.67868648,26783,46709,Group 2,Zone 1
541,37,Region 3,GLS2,-1.498895429,27522,44296,Group 2,Zone 3
542,38,Region 3,GLS2,0.044299425,27233,44126,Group 2,Zone 2
543,39,Region 3,GLS2,0.894559133,26877,43945,Group 2,Zone 2
544,40,Region 3,GLS2,2.202650991,26306,44070,Group 2,Zone 1
545,21,Region 4,GLS2,-1.173640156,16357,48999,Group 2,Zone 3
546,22,Region 4,GLS2,-0.804192591,16216,48941,Group 2,Zone 3
547,23,Region 4,GLS2,-0.881971025,15924,48753,Group 2,Zone 2
548,24,Region 4,GLS2,-0.067065152,15654,48634,Group 2,Zone 2
549,25,Region 4,GLS2,0.021319433,15394,48608,Group 2,Zone 1
550,26,Region 4,GLS2,1.111985212,15021,48429,Group 2,Zone 1
551,28,Region 5,GLS2,-0.954446385,22433,54552,Group 2,Zone 3
552,29,Region 5,GLS2,0.251119354,22806,54453,Group 2,Zone 3
553,30,Region 5,GLS2,-0.708737239,23106,54386,Group 2,Zone 2
554,31,Region 5,GLS2,0.89102375,23382,54236,Group 2,Zone 2
555,32,Region 5,GLS2,1.560978904,23666,54171,Group 2,Zone 1
556,33,Region 5,GLS2,1.87916341,24119,53993,Group 2,Zone 1
557,42,Region 6,GLS2,-0.67868648,16525,26339,Group 2,Zone 3
558,43,Region 6,GLS2,-0.805960282,16761,25810,Group 2,Zone 2
559,44,Region 6,GLS2,0.625869995,16770,25489,Group 2,Zone 2
560,45,Region 6,GLS2,0.793800706,16815,25063,Group 2,Zone 1
561,46,Region 6,GLS2,0.698345354,16811,24672,Group 2,Zone 1
562,2,Region 1,GLUL,3.398149878,26912,24305,Group 1,Zone 3
563,3,Region 1,GLUL,1.171552966,26867,24276,Group 1,Zone 3
564,4,Region 1,GLUL,-0.125077507,26572,23905,Group 1,Zone 2
565,5,Region 1,GLUL,-0.692076123,26008,23308,Group 1,Zone 2
566,6,Region 1,GLUL,-0.738278748,25778,22864,Group 1,Zone 1
567,7,Region 1,GLUL,-0.206394127,25456,22090,Group 1,Zone 1
568,16,Region 2,GLUL,1.889356951,27853,44984,Group 1,Zone 3
569,17,Region 2,GLUL,0.238629559,27733,45350,Group 1,Zone 3
570,18,Region 2,GLUL,0.933886662,27689,45746,Group 1,Zone 2
571,34,Region 2,GLUL,-0.376050167,27432,46002,Group 1,Zone 2
572,35,Region 2,GLUL,-0.457736408,27068,46387,Group 1,Zone 1
573,36,Region 2,GLUL,-0.522789704,26783,46709,Group 1,Zone 1
574,37,Region 3,GLUL,2.105585236,27522,44296,Group 1,Zone 3
575,38,Region 3,GLUL,1.243629061,27233,44126,Group 1,Zone 2
576,39,Region 3,GLUL,-0.400814774,26877,43945,Group 1,Zone 2
577,40,Region 3,GLUL,-0.333913372,26306,44070,Group 1,Zone 1
578,21,Region 4,GLUL,0.718397618,16357,48999,Group 1,Zone 3
579,22,Region 4,GLUL,-0.381594482,16216,48941,Group 1,Zone 3
580,23,Region 4,GLUL,-0.687640671,15924,48753,Group 1,Zone 2
581,24,Region 4,GLUL,-0.76119525,15654,48634,Group 1,Zone 2
582,25,Region 4,GLUL,-0.67248621,15394,48608,Group 1,Zone 1
583,26,Region 4,GLUL,-0.638850699,15021,48429,Group 1,Zone 1
584,28,Region 5,GLUL,0.347298133,22433,54552,Group 1,Zone 3
585,29,Region 5,GLUL,-0.07813564,22806,54453,Group 1,Zone 3
586,30,Region 5,GLUL,-0.616673438,23106,54386,Group 1,Zone 2
587,31,Region 5,GLUL,-0.627762069,23382,54236,Group 1,Zone 2
588,32,Region 5,GLUL,-0.757868661,23666,54171,Group 1,Zone 1
589,33,Region 5,GLUL,-0.66139758,24119,53993,Group 1,Zone 1
590,42,Region 6,GLUL,0.412351429,16525,26339,Group 1,Zone 3
591,43,Region 6,GLUL,-0.41781734,16761,25810,Group 1,Zone 2
592,44,Region 6,GLUL,-0.653635539,16770,25489,Group 1,Zone 2
593,45,Region 6,GLUL,-0.80185356,16815,25063,Group 1,Zone 1
594,46,Region 6,GLUL,-0.848795427,16811,24672,Group 1,Zone 1
595,2,Region 1,HAL,-0.973464382,26912,24305,Group 2,Zone 3
596,3,Region 1,HAL,-0.919864285,26867,24276,Group 2,Zone 3
597,4,Region 1,HAL,-0.714955582,26572,23905,Group 2,Zone 2
598,5,Region 1,HAL,1.19957287,26008,23308,Group 2,Zone 2
599,6,Region 1,HAL,1.436306631,25778,22864,Group 2,Zone 1
600,7,Region 1,HAL,0.041587449,25456,22090,Group 2,Zone 1
601,16,Region 2,HAL,-0.785305709,27853,44984,Group 2,Zone 3
602,17,Region 2,HAL,-0.478780156,27733,45350,Group 2,Zone 3
603,18,Region 2,HAL,-0.391679999,27689,45746,Group 2,Zone 2
604,34,Region 2,HAL,0.55637171,27432,46002,Group 2,Zone 2
605,35,Region 2,HAL,-0.142662884,27068,46387,Group 2,Zone 1
606,36,Region 2,HAL,-0.450863439,26783,46709,Group 2,Zone 1
607,37,Region 3,HAL,-0.854539167,27522,44296,Group 2,Zone 3
608,38,Region 3,HAL,-0.565880313,27233,44126,Group 2,Zone 2
609,39,Region 3,HAL,0.912030685,26877,43945,Group 2,Zone 2
610,40,Region 3,HAL,2.342483265,26306,44070,Group 2,Zone 1
611,21,Region 4,HAL,-1.084572916,16357,48999,Group 2,Zone 3
612,22,Region 4,HAL,-0.989097743,16216,48941,Group 2,Zone 3
613,23,Region 4,HAL,-0.89473924,15924,48753,Group 2,Zone 2
614,24,Region 4,HAL,-0.598263705,15654,48634,Group 2,Zone 2
615,25,Region 4,HAL,0.06615416,15394,48608,Group 2,Zone 1
616,26,Region 4,HAL,0.577588415,15021,48429,Group 2,Zone 1
617,28,Region 5,HAL,-0.998589427,22433,54552,Group 2,Zone 3
618,29,Region 5,HAL,-0.15382957,22806,54453,Group 2,Zone 3
619,30,Region 5,HAL,0.192896055,23106,54386,Group 2,Zone 2
620,31,Region 5,HAL,0.613321813,23382,54236,Group 2,Zone 2
621,32,Region 5,HAL,1.686998749,23666,54171,Group 2,Zone 1
622,33,Region 5,HAL,2.64677548,24119,53993,Group 2,Zone 1
623,42,Region 6,HAL,-0.823830779,16525,26339,Group 2,Zone 3
624,43,Region 6,HAL,-0.731705612,16761,25810,Group 2,Zone 2
625,44,Region 6,HAL,-0.714955582,16770,25489,Group 2,Zone 2
626,45,Region 6,HAL,0.240912808,16815,25063,Group 2,Zone 1
627,46,Region 6,HAL,0.754580401,16811,24672,Group 2,Zone 1
628,2,Region 1,HSD17B13,-0.892701193,26912,24305,Group 2,Zone 3
629,3,Region 1,HSD17B13,-0.774961351,26867,24276,Group 2,Zone 3
630,4,Region 1,HSD17B13,-0.499534219,26572,23905,Group 2,Zone 2
631,5,Region 1,HSD17B13,1.273922161,26008,23308,Group 2,Zone 2
632,6,Region 1,HSD17B13,0.99008504,25778,22864,Group 2,Zone 1
633,7,Region 1,HSD17B13,0.673659213,25456,22090,Group 2,Zone 1
634,16,Region 2,HSD17B13,-0.739218898,27853,44984,Group 2,Zone 3
635,17,Region 2,HSD17B13,0.230032306,27733,45350,Group 2,Zone 3
636,18,Region 2,HSD17B13,-0.142109696,27689,45746,Group 2,Zone 2
637,34,Region 2,HSD17B13,0.673659213,27432,46002,Group 2,Zone 2
638,35,Region 2,HSD17B13,-0.041189831,27068,46387,Group 2,Zone 1
639,36,Region 2,HSD17B13,-0.422793071,26783,46709,Group 2,Zone 1
640,37,Region 3,HSD17B13,-0.982057324,27522,44296,Group 2,Zone 3
641,38,Region 3,HSD17B13,0.774579078,27233,44126,Group 2,Zone 2
642,39,Region 3,HSD17B13,1.734369046,26877,43945,Group 2,Zone 2
643,40,Region 3,HSD17B13,3.030558563,26306,44070,Group 2,Zone 1
644,21,Region 4,HSD17B13,-1.012543533,16357,48999,Group 2,Zone 3
645,22,Region 4,HSD17B13,-0.75288513,16216,48941,Group 2,Zone 3
646,23,Region 4,HSD17B13,-0.499534219,15924,48753,Group 2,Zone 2
647,24,Region 4,HSD17B13,0.243698538,15654,48634,Group 2,Zone 2
648,25,Region 4,HSD17B13,0.014526344,15394,48608,Group 2,Zone 1
649,26,Region 4,HSD17B13,0.15223991,15021,48429,Group 2,Zone 1
650,28,Region 5,HSD17B13,-1.146052105,22433,54552,Group 2,Zone 3
651,29,Region 5,HSD17B13,-0.496380473,22806,54453,Group 2,Zone 3
652,30,Region 5,HSD17B13,0.179572374,23106,54386,Group 2,Zone 2
653,31,Region 5,HSD17B13,0.670505468,23382,54236,Group 2,Zone 2
654,32,Region 5,HSD17B13,1.467351903,23666,54171,Group 2,Zone 1
655,33,Region 5,HSD17B13,1.168797302,24119,53993,Group 2,Zone 1
656,42,Region 6,HSD17B13,-1.08192594,16525,26339,Group 2,Zone 3
657,43,Region 6,HSD17B13,-1.098745918,16761,25810,Group 2,Zone 2
658,44,Region 6,HSD17B13,-0.911623668,16770,25489,Group 2,Zone 2
659,45,Region 6,HSD17B13,-0.866419978,16815,25063,Group 2,Zone 1
660,46,Region 6,HSD17B13,-0.916879911,16811,24672,Group 2,Zone 1
694,2,Region 1,MZT2B,0.567649852,26912,24305,Group 2,Zone 3
695,3,Region 1,MZT2B,0.636776285,26867,24276,Group 2,Zone 3
696,4,Region 1,MZT2B,0.501643857,26572,23905,Group 2,Zone 2
697,5,Region 1,MZT2B,0.711584961,26008,23308,Group 2,Zone 2
698,6,Region 1,MZT2B,1.502638393,25778,22864,Group 2,Zone 1
699,7,Region 1,MZT2B,0.74590695,25456,22090,Group 2,Zone 1
700,16,Region 2,MZT2B,-0.72345225,27853,44984,Group 2,Zone 3
701,17,Region 2,MZT2B,-0.796150539,27733,45350,Group 2,Zone 3
702,18,Region 2,MZT2B,-0.566606543,27689,45746,Group 2,Zone 2
703,34,Region 2,MZT2B,-0.439675843,27432,46002,Group 2,Zone 2
704,35,Region 2,MZT2B,-0.079948104,27068,46387,Group 2,Zone 1
705,36,Region 2,MZT2B,0.382570677,26783,46709,Group 2,Zone 1
706,37,Region 3,MZT2B,-1.102853414,27522,44296,Group 2,Zone 3
707,38,Region 3,MZT2B,-1.667598963,27233,44126,Group 2,Zone 2
708,39,Region 3,MZT2B,-1.523093937,26877,43945,Group 2,Zone 2
709,40,Region 3,MZT2B,-1.039479759,26306,44070,Group 2,Zone 1
710,21,Region 4,MZT2B,-1.231965035,16357,48999,Group 2,Zone 3
711,22,Region 4,MZT2B,-1.072117389,16216,48941,Group 2,Zone 3
712,23,Region 4,MZT2B,-1.335396529,15924,48753,Group 2,Zone 2
713,24,Region 4,MZT2B,-0.957583797,15654,48634,Group 2,Zone 2
714,25,Region 4,MZT2B,-0.385031512,15394,48608,Group 2,Zone 1
715,26,Region 4,MZT2B,0.449183267,15021,48429,Group 2,Zone 1
716,28,Region 5,MZT2B,-0.020087056,22433,54552,Group 2,Zone 3
717,29,Region 5,MZT2B,0.099815607,22806,54453,Group 2,Zone 3
718,30,Region 5,MZT2B,0.180410916,23106,54386,Group 2,Zone 2
719,31,Region 5,MZT2B,0.347041141,23382,54236,Group 2,Zone 2
720,32,Region 5,MZT2B,1.383613176,23666,54171,Group 2,Zone 1
721,33,Region 5,MZT2B,1.807893904,24119,53993,Group 2,Zone 1
722,42,Region 6,MZT2B,-0.241982314,16525,26339,Group 2,Zone 3
723,43,Region 6,MZT2B,0.199164575,16761,25810,Group 2,Zone 2
724,44,Region 6,MZT2B,0.058189085,16770,25489,Group 2,Zone 2
725,45,Region 6,MZT2B,1.171759182,16815,25063,Group 2,Zone 1
726,46,Region 6,MZT2B,2.437181156,16811,24672,Group 2,Zone 1
727,2,Region 1,NAMPT,-0.830811323,26912,24305,Group 2,Zone 3
728,3,Region 1,NAMPT,-0.859651162,26867,24276,Group 2,Zone 3
729,4,Region 1,NAMPT,-0.637043651,26572,23905,Group 2,Zone 2
730,5,Region 1,NAMPT,1.21681728,26008,23308,Group 2,Zone 2
731,6,Region 1,NAMPT,1.444832261,25778,22864,Group 2,Zone 1
732,7,Region 1,NAMPT,0.595859486,25456,22090,Group 2,Zone 1
733,16,Region 2,NAMPT,-0.065654332,27853,44984,Group 2,Zone 3
734,17,Region 2,NAMPT,0.262398842,27733,45350,Group 2,Zone 3
735,18,Region 2,NAMPT,0.69049021,27689,45746,Group 2,Zone 2
736,34,Region 2,NAMPT,0.562513422,27432,46002,Group 2,Zone 2
737,35,Region 2,NAMPT,0.1172984,27068,46387,Group 2,Zone 1
738,36,Region 2,NAMPT,-0.167495015,26783,46709,Group 2,Zone 1
739,37,Region 3,NAMPT,-1.061530038,27522,44296,Group 2,Zone 3
740,38,Region 3,NAMPT,-0.14856887,27233,44126,Group 2,Zone 2
741,39,Region 3,NAMPT,0.815763262,26877,43945,Group 2,Zone 2
742,40,Region 3,NAMPT,2.115358529,26306,44070,Group 2,Zone 1
743,21,Region 4,NAMPT,-1.214741686,16357,48999,Group 2,Zone 3
744,22,Region 4,NAMPT,-1.248988995,16216,48941,Group 2,Zone 3
745,23,Region 4,NAMPT,-0.865959877,15924,48753,Group 2,Zone 2
746,24,Region 4,NAMPT,-0.631636181,15654,48634,Group 2,Zone 2
747,25,Region 4,NAMPT,0.358832056,15394,48608,Group 2,Zone 1
748,26,Region 4,NAMPT,0.195706714,15021,48429,Group 2,Zone 1
749,28,Region 5,NAMPT,-1.043505139,22433,54552,Group 2,Zone 3
750,29,Region 5,NAMPT,-0.624426221,22806,54453,Group 2,Zone 3
751,30,Region 5,NAMPT,-0.482029514,23106,54386,Group 2,Zone 2
752,31,Region 5,NAMPT,0.385869405,23382,54236,Group 2,Zone 2
753,32,Region 5,NAMPT,0.678774025,23666,54171,Group 2,Zone 1
754,33,Region 5,NAMPT,2.911157849,24119,53993,Group 2,Zone 1
755,42,Region 6,NAMPT,-1.397694417,16525,26339,Group 2,Zone 3
756,43,Region 6,NAMPT,-1.052517589,16761,25810,Group 2,Zone 2
757,44,Region 6,NAMPT,-0.720859435,16770,25489,Group 2,Zone 2
758,45,Region 6,NAMPT,0.163261894,16815,25063,Group 2,Zone 1
759,46,Region 6,NAMPT,0.538179807,16811,24672,Group 2,Zone 1
760,2,Region 1,NNMT,-1.379051902,26912,24305,Group 2,Zone 3
