,ROILabel,Lobular,Gene,Expression,X_position,Y_position,Group,type
82,40,Region 3,AKR1C1,0.241231706,26306,44070,Group 1,Zone 1
83,21,Region 4,AKR1C1,2.189958557,16357,48999,Group 1,Zone 3
84,22,Region 4,AKR1C1,-0.21584509,16216,48941,Group 1,Zone 3
85,23,Region 4,AKR1C1,-0.034568174,15924,48753,Group 1,Zone 2
86,24,Region 4,AKR1C1,-0.539553869,15654,48634,Group 1,Zone 2
87,25,Region 4,AKR1C1,-0.659973535,15394,48608,Group 1,Zone 1
88,26,Region 4,AKR1C1,-0.76226551,15021,48429,Group 1,Zone 1
89,28,Region 5,AKR1C1,0.444520819,22433,54552,Group 1,Zone 3
90,29,Region 5,AKR1C1,-0.120027292,22806,54453,Group 1,Zone 3
91,30,Region 5,AKR1C1,-0.063054546,23106,54386,Group 1,Zone 2
92,31,Region 5,AKR1C1,0.422508622,23382,54236,Group 1,Zone 2
93,32,Region 5,AKR1C1,0.212745333,23666,54171,Group 1,Zone 1
94,33,Region 5,AKR1C1,0.921020142,24119,53993,Group 1,Zone 1
95,42,Region 6,AKR1C1,-0.601705955,16525,26339,Group 1,Zone 3
96,43,Region 6,AKR1C1,-1.175317912,16761,25810,Group 1,Zone 2
97,44,Region 6,AKR1C1,-1.915963599,16770,25489,Group 1,Zone 2
98,45,Region 6,AKR1C1,-1.286673732,16815,25063,Group 1,Zone 1
99,46,Region 6,AKR1C1,-1.642753389,16811,24672,Group 1,Zone 1
100,2,Region 1,AKR1C2,3.582635975,26912,24305,Group 1,Zone 3
101,3,Region 1,AKR1C2,1.659723391,26867,24276,Group 1,Zone 3
102,4,Region 1,AKR1C2,-0.093809556,26572,23905,Group 1,Zone 2
103,5,Region 1,AKR1C2,-0.925584563,26008,23308,Group 1,Zone 2
104,6,Region 1,AKR1C2,-0.790232084,25778,22864,Group 1,Zone 1
105,7,Region 1,AKR1C2,-0.06507551,25456,22090,Group 1,Zone 1
106,16,Region 2,AKR1C2,1.103946454,27853,44984,Group 1,Zone 3
107,17,Region 2,AKR1C2,-0.262433035,27733,45350,Group 1,Zone 3
108,18,Region 2,AKR1C2,0.075570082,27689,45746,Group 1,Zone 2
109,34,Region 2,AKR1C2,0.000710331,27432,46002,Group 1,Zone 2
110,35,Region 2,AKR1C2,0.29485622,27068,46387,Group 1,Zone 1
111,36,Region 2,AKR1C2,-0.355440604,26783,46709,Group 1,Zone 1
112,37,Region 3,AKR1C2,1.0994095,27522,44296,Group 1,Zone 3
113,38,Region 3,AKR1C2,0.145136719,27233,44126,Group 1,Zone 2
114,39,Region 3,AKR1C2,-0.43408115,26877,43945,Group 1,Zone 2
115,40,Region 3,AKR1C2,-0.557335083,26306,44070,Group 1,Zone 1
116,21,Region 4,AKR1C2,1.324744911,16357,48999,Group 1,Zone 3
117,22,Region 4,AKR1C2,-0.093809556,16216,48941,Group 1,Zone 3
118,23,Region 4,AKR1C2,-0.198159511,15924,48753,Group 1,Zone 2
119,24,Region 4,AKR1C2,-0.557335083,15654,48634,Group 1,Zone 2
120,25,Region 4,AKR1C2,-0.928609199,15394,48608,Group 1,Zone 1
121,26,Region 4,AKR1C2,-0.935414631,15021,48429,Group 1,Zone 1
122,28,Region 5,AKR1C2,0.854413952,22433,54552,Group 1,Zone 3
123,29,Region 5,AKR1C2,-0.535406469,22806,54453,Group 1,Zone 3
124,30,Region 5,AKR1C2,-0.587581446,23106,54386,Group 1,Zone 2
125,31,Region 5,AKR1C2,-0.564896673,23382,54236,Group 1,Zone 2
126,32,Region 5,AKR1C2,-1.219730452,23666,54171,Group 1,Zone 1
127,33,Region 5,AKR1C2,-0.59287456,24119,53993,Group 1,Zone 1
128,42,Region 6,AKR1C2,1.30810941,16525,26339,Group 1,Zone 3
129,43,Region 6,AKR1C2,0.685034314,16761,25810,Group 1,Zone 2
130,44,Region 6,AKR1C2,-0.529357196,16770,25489,Group 1,Zone 2
131,45,Region 6,AKR1C2,-0.831064676,16815,25063,Group 1,Zone 1
132,46,Region 6,AKR1C2,-1.076060223,16811,24672,Group 1,Zone 1
133,2,Region 1,ALDOB,-1.249178811,26912,24305,Group 2,Zone 3
134,3,Region 1,ALDOB,-0.79686513,26867,24276,Group 2,Zone 3
135,4,Region 1,ALDOB,-0.125473396,26572,23905,Group 2,Zone 2
136,5,Region 1,ALDOB,1.643650851,26008,23308,Group 2,Zone 2
137,6,Region 1,ALDOB,1.726306102,25778,22864,Group 2,Zone 1
138,7,Region 1,ALDOB,0.640180718,25456,22090,Group 2,Zone 1
139,16,Region 2,ALDOB,-0.468013825,27853,44984,Group 2,Zone 3
140,17,Region 2,ALDOB,0.166682725,27733,45350,Group 2,Zone 3
141,18,Region 2,ALDOB,0.208895199,27689,45746,Group 2,Zone 2
142,34,Region 2,ALDOB,0.362182172,27432,46002,Group 2,Zone 2
143,35,Region 2,ALDOB,0.015425699,27068,46387,Group 2,Zone 1
144,36,Region 2,ALDOB,-0.418254115,26783,46709,Group 2,Zone 1
145,37,Region 3,ALDOB,-0.663148922,27522,44296,Group 2,Zone 3
146,38,Region 3,ALDOB,0.398200706,27233,44126,Group 2,Zone 2
147,39,Region 3,ALDOB,1.857888264,26877,43945,Group 2,Zone 2
148,40,Region 3,ALDOB,2.834084246,26306,44070,Group 2,Zone 1
149,21,Region 4,ALDOB,-1.224038707,16357,48999,Group 2,Zone 3
150,22,Region 4,ALDOB,-0.928030893,16216,48941,Group 2,Zone 3
151,23,Region 4,ALDOB,-0.882591325,15924,48753,Group 2,Zone 2
152,24,Region 4,ALDOB,-0.43808513,15654,48634,Group 2,Zone 2
153,25,Region 4,ALDOB,-0.143170364,15394,48608,Group 2,Zone 1
154,26,Region 4,ALDOB,0.158979339,15021,48429,Group 2,Zone 1
155,28,Region 5,ALDOB,-1.255685049,22433,54552,Group 2,Zone 3
156,29,Region 5,ALDOB,-0.626453739,22806,54453,Group 2,Zone 3
157,30,Region 5,ALDOB,-0.132187833,23106,54386,Group 2,Zone 2
158,31,Region 5,ALDOB,0.310028166,23382,54236,Group 2,Zone 2
159,32,Region 5,ALDOB,0.855459128,23666,54171,Group 2,Zone 1
160,33,Region 5,ALDOB,1.401046241,24119,53993,Group 2,Zone 1
161,42,Region 6,ALDOB,-1.213472576,16525,26339,Group 2,Zone 3
162,43,Region 6,ALDOB,-0.986534987,16761,25810,Group 2,Zone 2
163,44,Region 6,ALDOB,-0.532243409,16770,25489,Group 2,Zone 2
164,45,Region 6,ALDOB,-0.167789969,16815,25063,Group 2,Zone 1
165,46,Region 6,ALDOB,-0.327791379,16811,24672,Group 2,Zone 1
166,2,Region 1,AOX1,1.164093293,26912,24305,Group 1,Zone 3
167,3,Region 1,AOX1,1.058246692,26867,24276,Group 1,Zone 3
168,4,Region 1,AOX1,0.916213219,26572,23905,Group 1,Zone 2
169,5,Region 1,AOX1,0.420453073,26008,23308,Group 1,Zone 2
170,6,Region 1,AOX1,-0.549355097,25778,22864,Group 1,Zone 1
171,7,Region 1,AOX1,0.294703693,25456,22090,Group 1,Zone 1
172,16,Region 2,AOX1,0.440355852,27853,44984,Group 1,Zone 3
173,17,Region 2,AOX1,0.38878956,27733,45350,Group 1,Zone 3
174,18,Region 2,AOX1,0.684617239,27689,45746,Group 1,Zone 2
175,34,Region 2,AOX1,1.009394415,27432,46002,Group 1,Zone 2
176,35,Region 2,AOX1,-0.061736997,27068,46387,Group 1,Zone 1
177,36,Region 2,AOX1,-0.489646758,26783,46709,Group 1,Zone 1
178,37,Region 3,AOX1,1.704182358,27522,44296,Group 1,Zone 3
179,38,Region 3,AOX1,2.205370535,27233,44126,Group 1,Zone 2
180,39,Region 3,AOX1,1.386642556,26877,43945,Group 1,Zone 2
181,40,Region 3,AOX1,0.103817943,26306,44070,Group 1,Zone 1
182,21,Region 4,AOX1,-0.250813403,16357,48999,Group 1,Zone 3
183,22,Region 4,AOX1,-0.438985138,16216,48941,Group 1,Zone 3
184,23,Region 4,AOX1,0.123720722,15924,48753,Group 1,Zone 2
185,24,Region 4,AOX1,-0.049071592,15654,48634,Group 1,Zone 2
186,25,Region 4,AOX1,-1.555350139,15394,48608,Group 1,Zone 1
187,26,Region 4,AOX1,-2.127102717,15021,48429,Group 1,Zone 1
188,28,Region 5,AOX1,-0.37475344,22433,54552,Group 1,Zone 3
189,29,Region 5,AOX1,-0.310521742,22806,54453,Group 1,Zone 3
190,30,Region 5,AOX1,0.918927235,23106,54386,Group 1,Zone 2
191,31,Region 5,AOX1,-0.576495251,23382,54236,Group 1,Zone 2
192,32,Region 5,AOX1,-0.2091985,23666,54171,Group 1,Zone 1
193,33,Region 5,AOX1,-0.786379109,24119,53993,Group 1,Zone 1
194,42,Region 6,AOX1,-0.562020502,16525,26339,Group 1,Zone 3
195,43,Region 6,AOX1,-0.424510389,16761,25810,Group 1,Zone 2
196,44,Region 6,AOX1,-0.690483898,16770,25489,Group 1,Zone 2
197,45,Region 6,AOX1,-1.222430917,16815,25063,Group 1,Zone 1
198,46,Region 6,AOX1,-2.140672794,16811,24672,Group 1,Zone 1
199,2,Region 1,CRP,-0.97707397,26912,24305,Group 2,Zone 3
200,3,Region 1,CRP,-0.934478006,26867,24276,Group 2,Zone 3
201,4,Region 1,CRP,-0.672086867,26572,23905,Group 2,Zone 2
202,5,Region 1,CRP,0.517192452,26008,23308,Group 2,Zone 2
203,6,Region 1,CRP,1.445216523,25778,22864,Group 2,Zone 1
204,7,Region 1,CRP,-0.007589826,25456,22090,Group 2,Zone 1
205,16,Region 2,CRP,-0.979345755,27853,44984,Group 2,Zone 3
206,17,Region 2,CRP,-0.330183261,27733,45350,Group 2,Zone 3
207,18,Region 2,CRP,-0.362556194,27689,45746,Group 2,Zone 2
208,34,Region 2,CRP,-0.583487261,27432,46002,Group 2,Zone 2
209,35,Region 2,CRP,-0.187060822,27068,46387,Group 2,Zone 1
210,36,Region 2,CRP,-0.553386113,26783,46709,Group 2,Zone 1
211,37,Region 3,CRP,-0.831679746,27522,44296,Group 2,Zone 3
212,38,Region 3,CRP,-0.779996643,27233,44126,Group 2,Zone 2
213,39,Region 3,CRP,0.257641044,26877,43945,Group 2,Zone 2
214,40,Region 3,CRP,0.81990777,26306,44070,Group 2,Zone 1
215,21,Region 4,CRP,-0.864052678,16357,48999,Group 2,Zone 3
216,22,Region 4,CRP,-0.411967512,16216,48941,Group 2,Zone 3
217,23,Region 4,CRP,-0.672086867,15924,48753,Group 2,Zone 2
218,24,Region 4,CRP,-0.515901665,15654,48634,Group 2,Zone 2
219,25,Region 4,CRP,0.4280249,15394,48608,Group 2,Zone 1
