Target name,FC,Pvalue,Significance,GeneName,GeneName2,Color
GMFG,0.114122157,0.243871822,0.612838378,,,#808080
VPS18,0.109716088,0.243900365,0.61278755,,,#808080
KIF13B,0.12130263,0.243924727,0.612744172,,,#808080
C19orf54,0.088815502,0.244103149,0.612426618,,,#808080
CDCA8,-0.129453139,0.244343077,0.611999961,,,#808080
ABHD17A,-0.215345224,0.244373772,0.611945407,,,#808080
CLEC18B,-0.176194128,0.244787672,0.611210458,,,#808080
PARP11,-0.175491308,0.244853051,0.61109448,,,#808080
RPS4Y1,-0.109935601,0.244992066,0.61084798,,,#808080
MRPS18A,0.158114447,0.245067799,0.61071375,,,#808080
CD14,-0.109890439,0.245113356,0.610633024,,,#808080
IPO9,-0.091908566,0.245223351,0.610438176,,,#808080
TTC38,0.134026473,0.245321066,0.610265157,,,#808080
GOLGA4,-0.095018302,0.245413368,0.610101784,,,#808080
ZNRF4,-0.157160739,0.245494908,0.609957511,,,#808080
TMEM26,-0.083619786,0.24563111,0.60971663,,,#808080
MYO15B,0.144797698,0.245650527,0.609682299,,,#808080
SERPINA9,-0.133222646,0.245729212,0.609543212,,,#808080
PSME2,0.114293744,0.245890121,0.609258919,,,#808080
RETREG1,-0.099464528,0.246450226,0.608270779,,,#808080
CTSG,-0.136419573,0.246831616,0.607599214,,,#808080
UBE2V2,-0.095130715,0.246873125,0.607526186,,,#808080
OR6B1,-0.122254875,0.246884183,0.607506733,,,#808080
DUXA,-0.082616949,0.246929688,0.607426693,,,#808080
CHMP6,-0.140911778,0.24695129,0.6073887,,,#808080
VEGFA,0.110249839,0.247198937,0.6069534,,,#808080
SPATA4,-0.135361581,0.247224327,0.606908797,,,#808080
TGIF2,0.137633035,0.247374226,0.606645552,,,#808080
ANG,-0.17464186,0.24748542,0.606450381,,,#808080
DRGX,-0.136028274,0.247725427,0.606029415,,,#808080
SNRPG,0.177165742,0.247750958,0.605984657,,,#808080
NCL,-0.136225432,0.247786896,0.605921666,,,#808080
OR9G9,-0.136216923,0.247872949,0.605770867,,,#808080
RPS27A,0.236423727,0.247915666,0.605696029,,,#808080
STX2,-0.112330436,0.248261913,0.605089902,,,#808080
PRDX4,-0.160940662,0.24836615,0.604907596,,,#808080
CPNE9,-0.117563829,0.248516792,0.604644262,,,#808080
TMED7,-0.138342648,0.248522586,0.604634135,,,#808080
RSPRY1,-0.127209475,0.248588567,0.604518848,,,#808080
CCDC59,0.108183586,0.248868598,0.604029898,,,#808080
KRTAP3-3,-0.135912597,0.248891984,0.60398909,,,#808080
DDIT3,0.102714827,0.249212406,0.603430342,,,#808080
C20orf202,-0.096927695,0.24924914,0.603366331,,,#808080
SPEN,0.1477003,0.249318548,0.603245411,,,#808080
DSC3,-0.088922367,0.249378329,0.60314129,,,#808080
KLHL42,-0.096778905,0.249442472,0.603029597,,,#808080
PPCS,-0.107051326,0.249513871,0.602905306,,,#808080
GNPTG,-0.137863885,0.250051687,0.601970211,,,#808080
ZPLD1,0.120452614,0.250516083,0.601164387,,,#808080
MT1E,-0.176804785,0.250682141,0.600876606,,,#808080
TXNIP,-0.13321179,0.250725409,0.600801651,,,#808080
TMEM273,0.078589788,0.250729579,0.600794428,,,#808080
PGPEP1,-0.105047142,0.250774643,0.600716379,,,#808080
PCYOX1,-0.127325941,0.250923943,0.600457897,,,#808080
ZNF816,-0.144320255,0.251169044,0.600033887,,,#808080
PRKCZ,0.110970603,0.2512973,0.599812178,,,#808080
MTPAP,-0.181573218,0.251352049,0.59971757,,,#808080
EEF1AKMT4,-0.136714072,0.251516032,0.599434328,,,#808080
FAM171A2,0.103752827,0.251940528,0.598701965,,,#808080
NBL1,-0.233493327,0.252133881,0.598368792,,,#808080
SLC25A23,-0.095588287,0.252396595,0.597916509,,,#808080
CPB2,-0.198394627,0.252570337,0.597617657,,,#808080
LRPAP1,0.121336359,0.252589725,0.59758432,,,#808080
TMEM220,0.096916946,0.252741404,0.597323607,,,#808080
C14orf119,-0.100088504,0.252809382,0.597206814,,,#808080
IL1R1,0.118776677,0.252866904,0.59710801,,,#808080
TAGLN2,0.124852186,0.252886732,0.597073956,,,#808080
DPP10,-0.154287595,0.253255359,0.596441356,,,#808080
SPN,0.084675808,0.253350445,0.596278328,,,#808080
CTNND1,0.187545464,0.253370621,0.596243744,,,#808080
MIB1,0.121638259,0.253379184,0.596229067,,,#808080
CD163L1,-0.11242274,0.253844662,0.595431964,,,#808080
TK1,0.117256075,0.253890984,0.595352721,,,#808080
DDOST,-0.145877162,0.253957884,0.5952383,,,#808080
IFT57,-0.156981006,0.253978699,0.595202705,,,#808080
KRTAP5-11,-0.113906316,0.254143196,0.594921513,,,#808080
APOA4,-0.194434978,0.254443654,0.594408375,,,#808080
RANBP10,0.09777898,0.254611993,0.594121143,,,#808080
HNRNPA0,-0.165394534,0.254656065,0.594045977,,,#808080
F2,-0.136106307,0.254738351,0.593905667,,,#808080
ATF3,0.167884223,0.254757964,0.593872231,,,#808080
SLC38A2,-0.227730558,0.254838939,0.593734212,,,#808080
PLSCR1,0.102009598,0.255051575,0.593371989,,,#808080
BAZ2A,0.083903383,0.255165341,0.593178316,,,#808080
FAM47B,-0.111543083,0.255383407,0.592807323,,,#808080
ZNF121,0.115290582,0.255404505,0.592771447,,,#808080
AMD1,-0.140026023,0.255440239,0.592710687,,,#808080
SMPDL3B,-0.102196809,0.25570796,0.592255752,,,#808080
AATF,-0.159749475,0.25584633,0.592020809,,,#808080
TMBIM1,0.107107853,0.255889818,0.591946995,,,#808080
WIPI1,-0.070047573,0.255958472,0.591830492,,,#808080
AP2B1,-0.095080426,0.256023138,0.591720783,,,#808080
GALM,0.084247667,0.25618066,0.591453659,,,#808080
H1-2,-0.138329216,0.256711865,0.590554057,,,#808080
CNPY2,0.136561917,0.256748938,0.590491345,,,#808080
MPP3,-0.100259069,0.257048485,0.589984951,,,#808080
FZD9,-0.118746375,0.257060577,0.589964521,,,#808080
BRD2,-0.11634042,0.257113041,0.589875894,,,#808080
PPP2R5C,-0.116661862,0.257137277,0.589834959,,,#808080
CLVS1,0.151794041,0.25726993,0.589610972,,,#808080
PARP14,-0.114512537,0.257416832,0.589363059,,,#808080
ZNF428,0.110318408,0.257524665,0.589181169,,,#808080
APLP2,0.17819588,0.257800074,0.588716963,,,#808080
CALD1,-0.138032406,0.257884044,0.588575528,,,#808080
ORC5,-0.141704583,0.257966134,0.588437304,,,#808080
MT1G,-0.162433101,0.258098895,0.588213855,,,#808080
TESC,0.162204672,0.258105366,0.588202967,,,#808080
GRIA1,-0.150482531,0.258178443,0.588080023,,,#808080
USP47,0.134598225,0.25841404,0.587683894,,,#808080
FLNA,0.135143194,0.258631242,0.587319014,,,#808080
ARSB,0.124552606,0.258876996,0.58690654,,,#808080
BAK1,-0.110524953,0.258883592,0.586895475,,,#808080
TEAD2,0.082664576,0.258922033,0.586830991,,,#808080
OR2T34,-0.131926827,0.258959356,0.586768394,,,#808080
RALGAPA2,-0.215021447,0.2591806,0.586397509,,,#808080
FAF2,-0.109441078,0.259183473,0.586392695,,,#808080
FOS,0.177295965,0.259433672,0.585973657,,,#808080
ANKRD36,-0.096240753,0.259453056,0.58594121,,,#808080
CEP164,0.132329657,0.259607362,0.585682995,,,#808080
SUSD5,0.104477037,0.259760569,0.585426773,,,#808080
CAPZB,-0.109610685,0.260035118,0.584967997,,,#808080
SOX9,0.136979752,0.260266971,0.584580943,,,#808080
TUBB8,-0.127844976,0.260319699,0.584492966,,,#808080
CHST14,0.111222546,0.260342284,0.58445529,,,#808080
IRX5,-0.204819069,0.260381662,0.584389604,,,#808080
CDC14B,-0.136201414,0.260430214,0.584308632,,,#808080
S100A13,-0.122244926,0.260496265,0.584198499,,,#808080
CREB1,-0.134760582,0.260502803,0.584187599,,,#808080
VAMP1,-0.103497877,0.260516625,0.584164557,,,#808080
CNN2,-0.106661552,0.260904258,0.583518833,,,#808080
CCAR1,-0.108409514,0.261033976,0.583302962,,,#808080
FCGRT,0.084991942,0.26128649,0.582883046,,,#808080
UBL4A,-0.140581846,0.261670538,0.582245172,,,#808080
SIPA1L3,-0.113225681,0.261844623,0.58195634,,,#808080
SRP54,-0.124547,0.261888695,0.581883249,,,#808080
FH,-0.128234888,0.262035909,0.581639189,,,#808080
RORA,0.122610974,0.262159637,0.581434173,,,#808080
PRPF40B,-0.11429127,0.262170215,0.58141665,,,#808080
BLOC1S1,0.166889041,0.262338405,0.581138126,,,#808080
C5orf51,-0.157857319,0.262438452,0.580972533,,,#808080
PSG11,-0.088581989,0.26251219,0.580850525,,,#808080
ATG12,0.125380451,0.262626374,0.580661663,,,#808080
ACTR3B,-0.111782617,0.262660811,0.580604718,,,#808080
ZNF311,0.096812247,0.262990884,0.580059305,,,#808080
SLC22A8,-0.124901021,0.262998804,0.580046227,,,#808080
HNRNPA1,0.121488028,0.263160105,0.579779948,,,#808080
GAGE10,0.110502708,0.263173085,0.579758528,,,#808080
PATZ1,-0.101706547,0.263501551,0.579216825,,,#808080
SRRT,-0.097057289,0.263924478,0.578520328,,,#808080
NOS3,0.152416494,0.264046406,0.578319739,,,#808080
FAM221B,0.116295783,0.26443254,0.577685103,,,#808080
DCHS1,-0.190477612,0.26481518,0.577057124,,,#808080
YPEL1,-0.132157781,0.265005282,0.57674547,,,#808080
KRTAP5-6,0.071813012,0.26504613,0.576678532,,,#808080
PERP,-0.205025877,0.265145021,0.576516523,,,#808080
KPNA2,-0.115155829,0.265188816,0.576444796,,,#808080
TMOD1,0.112925469,0.265812026,0.575425375,,,#808080
HNRNPU,0.108288561,0.266366393,0.57452057,,,#808080
AHR,0.095316546,0.266690432,0.573992565,,,#808080
C1orf146,-0.097172997,0.267060511,0.573390324,,,#808080
SP1,0.083938004,0.267106092,0.573316207,,,#808080
RHOB,0.120886584,0.26764222,0.572445377,,,#808080
C2CD5,-0.166292727,0.267742174,0.572283215,,,#808080
UGP2,-0.182603516,0.267875327,0.572067287,,,#808080
CLU,-0.159517048,0.267924861,0.571986986,,,#808080
UBTF,0.102179565,0.268043483,0.571794748,,,#808080
PRPS2,0.106554535,0.268080322,0.571735064,,,#808080
C1D,0.086349316,0.268220647,0.571507794,,,#808080
NBR1,-0.092467367,0.268342025,0.571311307,,,#808080
TPMT,-0.107587561,0.268461134,0.57111858,,,#808080
RPS24,-0.146399799,0.268542066,0.570987674,,,#808080
H1-3,-0.477935016,0.268589165,0.570911512,,,#808080
HNF4G,-0.116734203,0.268657096,0.570801684,,,#808080
THG1L,-0.077490706,0.268827815,0.570525797,,,#808080
MPC1,0.120324694,0.268974714,0.570288545,,,#808080
TSPAN6,0.087796373,0.268974798,0.57028841,,,#808080
MFAP4,0.089872817,0.269015325,0.570222979,,,#808080
VPS36,-0.173906858,0.269128633,0.570040094,,,#808080
MARCHF4,-0.133001854,0.269311901,0.569744454,,,#808080
CDY2B,-0.118017112,0.269577178,0.569316878,,,#808080
SSX3,-0.103771961,0.269626525,0.569237386,,,#808080
PPM1D,0.145751788,0.269688036,0.56913832,,,#808080
RAF1,-0.10011055,0.269811305,0.568939858,,,#808080
APLNR,-0.146083429,0.269992347,0.568648546,,,#808080
MTMR11,0.103692218,0.270051009,0.568554195,,,#808080
MPP7,0.094325052,0.270327004,0.568110569,,,#808080
GSTM2,-0.086905547,0.270330646,0.568104717,,,#808080
REL,-0.108873557,0.270625994,0.567630491,,,#808080
DOK2,-0.123675816,0.27073954,0.567448314,,,#808080
FHL2,-0.103719518,0.271017726,0.567002303,,,#808080
SLC25A10,-0.103081204,0.271170617,0.56675737,,,#808080
ATP1B3,-0.109032578,0.271392653,0.566401914,,,#808080
VAMP8,-0.136892495,0.271421134,0.56635634,,,#808080
TMEM229B,0.109425898,0.271833027,0.565697779,,,#808080
SLC8A1,0.09242641,0.272108514,0.56525787,,,#808080
TARDBP,0.120011594,0.272136167,0.565213736,,,#808080
LPIN2,-0.142824791,0.272248677,0.565034221,,,#808080
FANCI,0.096936844,0.272361806,0.564853795,,,#808080
LY6G5B,0.087581307,0.272544875,0.56456198,,,#808080
CCDC9,-0.08181019,0.272601389,0.564471935,,,#808080
PRELID3B,-0.231784383,0.272714828,0.564291248,,,#808080
SNRPC,0.126774308,0.272800945,0.56415413,,,#808080
MAGEA1,-0.080593458,0.273020142,0.563805312,,,#808080
TENT5C,0.151745099,0.273031931,0.56378656,,,#808080
IGDCC4,-0.134641339,0.273413505,0.563180037,,,#808080
ATG4B,0.097074041,0.273634511,0.56282913,,,#808080
FCER1G,-0.165975845,0.273642864,0.562815873,,,#808080
MME,0.132739787,0.273848194,0.562490119,,,#808080
LOXHD1,-0.145877249,0.273906564,0.56239756,,,#808080
TGFB1I1,-0.135218683,0.273920298,0.562375784,,,#808080
TMEM244,-0.151455371,0.27397935,0.562282169,,,#808080
NUMBL,-0.13441586,0.274230682,0.561883956,,,#808080
ANKRD20A1,0.123969191,0.274254756,0.561845832,,,#808080
CWF19L2,-0.124415582,0.27460179,0.561296635,,,#808080
COBLL1,0.19568396,0.275177505,0.560387071,,,#808080
C2,-0.157132096,0.275256947,0.560261712,,,#808080
GCC2,-0.120508104,0.275414626,0.560012999,,,#808080
PTPRB,0.086363463,0.275477906,0.559913227,,,#808080
TG,-0.150117364,0.275487064,0.55989879,,,#808080
GALT,0.092871704,0.275525504,0.559838194,,,#808080
CHCHD2,-0.095271106,0.275718443,0.559534182,,,#808080
ZC3HC1,-0.081818637,0.275958326,0.559156498,,,#808080
KRTAP10-5,-0.099111959,0.276005835,0.559081737,,,#808080
OR5A1,0.149235789,0.276162196,0.558835773,,,#808080
ATP5PD,-0.234948767,0.276187842,0.558795444,,,#808080
CHRNB2,0.160122704,0.276278338,0.558653165,,,#808080
TCEAL5,-0.169333206,0.276516848,0.558278402,,,#808080
FTCD,-0.096999988,0.276707534,0.557979017,,,#808080
FEM1B,0.088528659,0.276905468,0.557668469,,,#808080
LPXN,0.13088194,0.277107518,0.557351692,,,#808080
MCHR2,-0.082782486,0.277113174,0.557342827,,,#808080
REPS2,0.104057274,0.277158897,0.557271175,,,#808080
HMGXB4,-0.146818538,0.277571886,0.556624524,,,#808080
KLC1,0.091170644,0.277615652,0.556556052,,,#808080
FSIP1,-0.092778844,0.27787917,0.556144006,,,#808080
NMRK2,-0.146136471,0.278005892,0.555945999,,,#808080
FAM189A2,-0.110201288,0.278194154,0.555652001,,,#808080
MIDEAS,0.100796838,0.278260909,0.5555478,,,#808080
RASL11A,-0.176458856,0.27844464,0.555261137,,,#808080
TGOLN2,0.123627002,0.278521847,0.555140733,,,#808080
FAM120C,-0.103089745,0.278522101,0.555140338,,,#808080
SPATA6,-0.133483591,0.278569484,0.555066461,,,#808080
LRWD1,0.094163294,0.278655519,0.55493235,,,#808080
RAP1A,-0.126804439,0.278701324,0.554860969,,,#808080
NPS,-0.153864089,0.278929695,0.554505248,,,#808080
F12,-0.102874143,0.279119859,0.554209263,,,#808080
EXOSC9,0.219060029,0.279124537,0.554201985,,,#808080
CHST13,-0.092481471,0.279406327,0.553763764,,,#808080
MINAR1,-0.128368805,0.279670643,0.553353118,,,#808080
NDUFV2,-0.097085277,0.279837812,0.553093604,,,#808080
SLC25A1,-0.12364407,0.28029458,0.5523853,,,#808080
RAB10,0.06711643,0.28053051,0.552019899,,,#808080
STAT3,-0.125954832,0.280535855,0.552011624,,,#808080
USP36,-0.144875513,0.2806706,0.551803078,,,#808080
TERB2,-0.14581392,0.280679009,0.551790066,,,#808080
ALPL,0.095689417,0.280776645,0.551639019,,,#808080
MAT2A,-0.173553499,0.280794807,0.551610928,,,#808080
APOH,-0.198436269,0.280854732,0.551518254,,,#808080
HLA-DMB,0.096434535,0.280992699,0.551304964,,,#808080
POMC,0.123715886,0.281002371,0.551290016,,,#808080
SCD,0.144528343,0.281229728,0.550938774,,,#808080
DBT,-0.102368335,0.281292752,0.550841458,,,#808080
BMI1,0.131767789,0.281347365,0.550757148,,,#808080
ETV6,-0.070970365,0.281494525,0.550530048,,,#808080
SELENOM,-0.102290291,0.281563746,0.550423265,,,#808080
ARHGEF10L,0.108917836,0.281599009,0.550368878,,,#808080
EXOSC5,0.077441891,0.282382748,0.54916184,,,#808080
ANKRD36B,-0.122217102,0.282563107,0.548884543,,,#808080
FEZ2,-0.094674963,0.282593897,0.548837222,,,#808080
CRYBB3,0.108148636,0.283028982,0.54816909,,,#808080
TNFRSF4,0.149330196,0.283091468,0.54807322,,,#808080
ERICH2,-0.134710061,0.283175647,0.547944098,,,#808080
PITPNM1,-0.093996784,0.283342139,0.547688832,,,#808080
CAMK1D,0.098656566,0.283377319,0.547634913,,,#808080
FBXO3,-0.109487748,0.283510947,0.547430167,,,#808080
FBXL3,0.107746634,0.284432403,0.54602093,,,#808080
BST2,0.125282376,0.284449214,0.545995262,,,#808080
SPTLC2,0.120822273,0.285269016,0.544745396,,,#808080
AKR1D1,0.214810698,0.28537199,0.544588656,,,#808080
TAB3,-0.079558642,0.285566939,0.544292074,,,#808080
LDLR,-0.144460339,0.28568382,0.544114355,,,#808080
DMXL1,-0.081805057,0.286113889,0.543461059,,,#808080
NEK8,-0.135712827,0.286124149,0.543445486,,,#808080
HES4,0.160197094,0.286397489,0.543030793,,,#808080
PLPBP,0.134766191,0.286572157,0.542766007,,,#808080
GIMAP5,0.107813222,0.286618497,0.542695786,,,#808080
CACYBP,-0.075082637,0.286624434,0.54268679,,,#808080
RPS10,0.185393597,0.287060933,0.542025907,,,#808080
IDS,-0.105669431,0.287441894,0.541449934,,,#808080
CHRM2,-0.111312702,0.287551994,0.541283617,,,#808080
HABP2,-0.111491495,0.287962273,0.540664407,,,#808080
TSTD1,-0.13875681,0.287996798,0.54061234,,,#808080
KCTD6,0.129587581,0.288053879,0.540526272,,,#808080
PEX1,-0.13876454,0.288462855,0.539910102,,,#808080
RBBP8,-0.117231635,0.288488335,0.539871743,,,#808080
MAGEH1,0.102562179,0.288634805,0.539651301,,,#808080
FCER2,-0.136522189,0.288675145,0.539590608,,,#808080
ACBD3,-0.176384122,0.288799423,0.539403679,,,#808080
REM1,-0.14599006,0.288830641,0.539356736,,,#808080
PRPSAP1,0.135938812,0.288839942,0.53934275,,,#808080
ESYT2,0.117481709,0.288987294,0.539121252,,,#808080
C4BPA,-0.135979847,0.289183486,0.538826512,,,#808080
DRAXIN,0.084905536,0.289327186,0.538610758,,,#808080
PSMC5,0.102198653,0.289752767,0.537972408,,,#808080
DAB1,0.12905645,0.289810388,0.537886051,,,#808080
SLC22A18,0.136890683,0.289973228,0.537642096,,,#808080
CMYA5,-0.178120095,0.290221939,0.537269761,,,#808080
SCAF1,0.101244492,0.290386875,0.537023016,,,#808080
ARMCX3,-0.088707562,0.290407129,0.536992726,,,#808080
ELK4,0.127829615,0.290451985,0.536925651,,,#808080
SBNO1,-0.123455858,0.290542861,0.536789792,,,#808080
RBMX,0.097288237,0.29079108,0.53641892,,,#808080
CGB2,0.074045927,0.29082624,0.536366411,,,#808080
LTBR,0.104304252,0.290911058,0.536239771,,,#808080
LRIF1,-0.109153002,0.2909522,0.536178354,,,#808080
ATG9A,-0.121107427,0.291193796,0.535817882,,,#808080
AMDHD2,0.120379146,0.291254918,0.535726732,,,#808080
CHMP4A,0.130962472,0.291960821,0.534675424,,,#808080
SRP14,0.140704733,0.292100949,0.534467032,,,#808080
UBR4,-0.104346918,0.292626535,0.533686295,,,#808080
ZBTB41,-0.155561185,0.292693184,0.533587391,,,#808080
CD300LF,0.138084305,0.292906172,0.533271477,,,#808080
TAX1BP3,-0.119068719,0.293120699,0.532953512,,,#808080
PXMP2,-0.089824734,0.293215412,0.532813206,,,#808080
LRRFIP2,0.099845019,0.293803846,0.531942523,,,#808080
ERN1,-0.090784487,0.29411136,0.5314882,,,#808080
CENPT,-0.151695174,0.294273536,0.531248792,,,#808080
FPGS,-0.184638106,0.29443051,0.531017189,,,#808080
GRIK4,-0.120197178,0.294466141,0.530964635,,,#808080
INHBB,-0.109200113,0.294586237,0.530787547,,,#808080
VARS1,-0.177997134,0.294662482,0.530675157,,,#808080
SETD1B,-0.084939059,0.294716559,0.530595462,,,#808080
PXN,0.072842485,0.295125345,0.529993493,,,#808080
PPP4R2,0.097750299,0.295425644,0.529551808,,,#808080
